Pozo,Fecha,Produccion_Barriles,Presion_PSI,Temperatura_C,Agua_Producida_Barriles,Estado
Pozo A,2022-09-08,1997,2393,103.42,171,Mantenimiento
Pozo E,2022-05-11,2056,2628,79.91,467,Mantenimiento
Pozo E,2022-05-29,1223,2686,105.65,56,Mantenimiento
Pozo E,2022-12-15,1164,2067,68.5,218,Cerrado
Pozo A,2022-02-08,943,2206,100.84,295,Cerrado
Pozo D,2022-06-08,885,2691,105.35,114,Cerrado
Pozo D,2022-10-04,1317,2168,113.12,273,Cerrado
Pozo E,2022-06-02,2035,2187,100.39,74,Cerrado
Pozo D,2022-11-20,2191,2298,108.5,183,Mantenimiento
Pozo B,2022-07-15,1264,2287,90.91,313,Cerrado
Pozo B,2022-04-04,1894,2238,85.91,126,Operando
Pozo D,2022-10-24,1584,2521,75.6,271,Cerrado
Pozo D,2022-06-03,1208,2545,95.08,461,Mantenimiento
Pozo A,2022-07-14,1302,2565,75.38,74,Cerrado
Pozo C,2022-08-23,1835,2344,65.17,143,Cerrado
Pozo C,2022-10-19,2197,2109,109.97,284,Mantenimiento
Pozo E,2022-11-13,2063,2267,93.93,79,Mantenimiento
Pozo B,2022-02-15,1424,2072,109.89,219,Mantenimiento
Pozo A,2022-09-14,894,2245,60.22,58,Cerrado
Pozo B,2022-04-26,1449,2326,104.07,81,Operando
Pozo D,2022-09-30,1795,2492,107.43,90,Cerrado
Pozo A,2022-01-06,1839,2048,105.0,259,Mantenimiento
Pozo A,2022-10-27,1210,2105,72.11,212,Mantenimiento
Pozo B,2022-06-01,2191,2340,80.87,278,Operando
Pozo E,2022-01-25,1884,2091,119.54,482,Cerrado
Pozo E,2022-06-10,1805,2558,110.94,142,Cerrado
Pozo A,2022-01-16,1431,2785,100.96,319,Operando
Pozo C,2022-10-07,813,2198,113.64,306,Cerrado
Pozo A,2022-06-07,1846,2698,118.38,419,Cerrado
Pozo D,2022-04-04,1659,2657,92.66,120,Mantenimiento
Pozo B,2022-09-20,1566,2240,76.87,126,Operando
Pozo E,2022-01-25,1873,2438,114.45,451,Operando
Pozo C,2022-02-16,1801,2175,96.69,487,Cerrado
Pozo E,2022-01-02,1857,2583,87.45,469,Cerrado
Pozo C,2022-06-01,1179,2387,100.21,102,Operando
Pozo C,2022-11-20,1144,2564,107.14,488,Mantenimiento
Pozo E,2022-11-24,1528,2373,82.88,131,Operando
Pozo D,2022-10-29,855,2711,100.53,166,Cerrado
Pozo C,2022-11-12,1977,2048,88.58,461,Cerrado
Pozo C,2022-08-31,891,2349,91.6,304,Mantenimiento
Pozo E,2022-10-15,1997,2516,60.43,156,Operando
Pozo A,2022-10-24,1364,2741,87.58,271,Cerrado
Pozo B,2022-09-25,815,2537,63.83,205,Mantenimiento
Pozo A,2022-12-11,1668,2124,62.82,201,Operando
Pozo E,2022-10-25,1477,2156,67.8,341,Mantenimiento
Pozo D,2022-12-24,904,2784,65.46,411,Cerrado
Pozo B,2022-07-07,2145,2354,60.36,468,Cerrado
Pozo D,2022-10-13,918,2142,61.9,476,Cerrado
Pozo B,2022-04-16,901,2111,77.78,165,Cerrado
Pozo A,2022-04-20,836,2714,102.21,189,Operando
Pozo A,2022-03-12,1326,2502,84.31,320,Operando
Pozo E,2022-12-10,1233,2645,74.61,125,Mantenimiento
Pozo A,2022-11-15,1129,2213,103.15,482,Cerrado
Pozo D,2022-11-03,1594,2404,60.6,312,Mantenimiento
Pozo C,2022-02-19,962,2270,98.64,259,Mantenimiento
Pozo D,2022-04-03,1919,2522,80.59,386,Cerrado
Pozo C,2022-07-22,1876,2491,91.08,499,Operando
Pozo C,2022-11-29,1837,2447,119.15,486,Cerrado
Pozo C,2022-12-07,2067,2078,86.22,474,Operando
Pozo C,2022-02-11,2009,2096,118.08,458,Operando
Pozo B,2022-04-20,1042,2085,102.24,407,Operando
Pozo D,2022-04-11,1039,2057,69.61,242,Mantenimiento
Pozo E,2022-07-12,1876,2315,109.1,201,Operando
Pozo E,2022-11-21,1387,2379,104.91,403,Mantenimiento
Pozo A,2022-06-13,1836,2030,63.28,293,Cerrado
Pozo D,2022-11-08,1584,2532,106.5,445,Mantenimiento
Pozo D,2022-12-03,1939,2261,78.41,374,Cerrado
Pozo E,2022-12-12,1258,2547,70.23,455,Operando
Pozo E,2022-05-25,2000,2334,100.19,164,Operando
Pozo E,2022-02-26,1218,2557,76.64,276,Mantenimiento
Pozo B,2022-09-25,1364,2535,83.41,456,Mantenimiento
Pozo A,2022-05-11,2072,2601,112.11,51,Cerrado
Pozo B,2022-11-27,1211,2140,103.96,280,Cerrado
Pozo A,2022-01-14,1812,2372,106.9,499,Cerrado
Pozo A,2022-04-18,1881,2169,93.17,94,Cerrado
Pozo B,2022-03-10,1804,2150,112.62,267,Mantenimiento
Pozo C,2022-03-05,1961,2064,64.96,87,Cerrado
Pozo B,2022-01-09,2060,2707,117.14,251,Mantenimiento
Pozo B,2022-10-02,1911,2529,109.66,100,Cerrado
Pozo E,2022-11-10,1058,2773,111.88,308,Operando
Pozo C,2022-06-19,1063,2095,86.12,458,Cerrado
Pozo C,2022-10-16,1647,2599,73.38,272,Cerrado
Pozo E,2022-01-06,2073,2456,69.8,72,Cerrado
Pozo C,2022-06-18,817,2409,115.17,470,Mantenimiento
Pozo C,2022-03-12,1962,2727,98.71,455,Mantenimiento
Pozo D,2022-09-07,1973,2339,107.24,58,Cerrado
Pozo B,2022-02-10,1409,2776,76.34,341,Mantenimiento
Pozo D,2022-09-23,2002,2068,109.38,92,Cerrado
Pozo D,2022-02-08,959,2666,88.84,156,Operando
Pozo A,2022-09-08,945,2687,71.86,451,Cerrado
Pozo C,2022-12-24,1750,2727,103.62,460,Operando
Pozo B,2022-01-26,2066,2651,60.64,99,Cerrado
Pozo C,2022-06-13,1450,2561,88.55,336,Cerrado
Pozo B,2022-03-11,1861,2079,88.86,431,Operando
Pozo E,2022-02-11,1466,2537,95.56,416,Cerrado
Pozo D,2022-05-10,1333,2163,112.81,180,Cerrado
Pozo D,2022-06-30,1439,2059,103.04,484,Operando
Pozo A,2022-03-25,1186,2774,100.92,250,Mantenimiento
Pozo B,2022-07-06,942,2044,110.36,375,Mantenimiento
Pozo E,2022-11-11,1294,2637,69.85,185,Mantenimiento
Pozo A,2022-04-27,1259,2716,92.47,84,Cerrado
Pozo C,2022-08-05,956,2133,61.96,134,Operando
Pozo D,2022-02-12,1898,2366,109.55,246,Mantenimiento
Pozo A,2022-03-14,1996,2179,87.72,203,Cerrado
Pozo C,2022-09-12,1919,2450,107.08,222,Mantenimiento
Pozo C,2022-01-08,2050,2743,114.01,359,Operando
Pozo A,2022-12-06,1452,2418,78.1,386,Operando
Pozo E,2022-11-11,1689,2393,102.28,372,Cerrado
Pozo C,2022-12-17,2050,2724,83.34,499,Operando
Pozo B,2022-11-21,1469,2638,91.08,467,Operando
Pozo D,2022-04-30,1152,2781,113.92,466,Mantenimiento
Pozo D,2022-04-24,1020,2000,96.72,420,Operando
Pozo B,2022-07-06,1644,2508,100.94,402,Operando
Pozo D,2022-06-08,1584,2008,91.3,231,Operando
Pozo A,2022-03-09,1322,2161,107.02,108,Mantenimiento
Pozo E,2022-05-26,2174,2751,117.79,414,Mantenimiento
Pozo A,2022-08-03,1752,2195,109.09,166,Mantenimiento
Pozo C,2022-08-05,1673,2638,87.34,233,Cerrado
Pozo C,2022-09-04,2033,2473,83.34,258,Operando
Pozo A,2022-12-12,1215,2603,99.58,108,Cerrado
Pozo A,2022-12-03,1232,2328,117.93,499,Mantenimiento
Pozo D,2022-02-07,1222,2404,101.94,100,Mantenimiento
Pozo C,2022-02-18,1540,2540,84.18,196,Cerrado
Pozo C,2022-06-03,1615,2647,74.95,262,Cerrado
Pozo C,2022-09-30,2135,2396,115.56,453,Operando
Pozo E,2022-04-30,1710,2383,119.06,375,Cerrado
Pozo C,2022-10-10,1966,2315,70.86,194,Cerrado
Pozo D,2022-05-14,918,2606,93.57,161,Operando
Pozo A,2022-09-30,1374,2155,118.88,96,Cerrado
Pozo C,2022-03-23,1690,2068,61.6,107,Cerrado
Pozo A,2022-02-18,2049,2432,60.44,306,Operando
Pozo B,2022-04-19,2132,2573,71.39,169,Operando
Pozo C,2022-04-02,2189,2605,119.65,108,Mantenimiento
Pozo D,2022-04-28,1336,2412,77.19,449,Mantenimiento
Pozo E,2022-06-22,1271,2718,91.84,417,Operando
Pozo D,2022-05-26,2125,2411,66.4,280,Mantenimiento
Pozo D,2022-04-15,1522,2118,102.73,435,Cerrado
Pozo B,2022-05-31,1135,2655,95.29,223,Operando
Pozo C,2022-10-12,1483,2155,111.67,71,Mantenimiento
Pozo A,2022-06-29,2126,2731,60.85,464,Operando
Pozo D,2022-03-24,1815,2425,61.09,286,Cerrado
Pozo A,2022-05-30,1809,2065,117.22,482,Operando
Pozo E,2022-02-22,1457,2488,61.94,424,Cerrado
Pozo B,2022-05-07,1617,2018,77.6,188,Operando
Pozo B,2022-02-15,1681,2721,109.46,297,Mantenimiento
Pozo E,2022-10-02,1436,2527,79.82,304,Mantenimiento
Pozo D,2022-12-06,1046,2740,79.99,157,Mantenimiento
Pozo D,2022-06-09,1483,2746,78.79,160,Mantenimiento
Pozo D,2022-05-18,871,2210,74.8,106,Operando
Pozo C,2022-10-23,1801,2595,72.44,127,Mantenimiento
Pozo D,2022-02-02,861,2336,109.07,143,Operando
Pozo E,2022-04-24,843,2600,91.77,301,Cerrado
Pozo A,2022-02-01,1269,2413,116.44,201,Mantenimiento
Pozo C,2022-03-17,2133,2454,68.52,437,Operando
Pozo B,2022-02-10,2128,2558,98.42,357,Mantenimiento
Pozo B,2022-12-01,1128,2060,71.0,320,Mantenimiento
Pozo B,2022-08-26,943,2725,94.13,342,Mantenimiento
Pozo E,2022-05-18,2151,2480,63.3,135,Operando
Pozo D,2022-03-12,1489,2523,109.62,332,Operando
Pozo B,2022-06-27,1512,2451,101.41,416,Cerrado
Pozo E,2022-09-23,1882,2332,97.33,368,Cerrado
Pozo A,2022-05-10,2184,2350,116.2,138,Operando
Pozo C,2022-03-23,1810,2425,68.0,261,Mantenimiento
Pozo B,2022-02-04,954,2340,67.9,376,Operando
Pozo B,2022-03-13,2102,2510,115.85,386,Mantenimiento
Pozo B,2022-11-19,1333,2476,78.15,352,Mantenimiento
Pozo D,2022-08-11,1412,2642,81.83,413,Operando
Pozo B,2022-11-22,1727,2069,100.5,242,Mantenimiento
Pozo B,2022-05-14,1116,2127,107.61,319,Mantenimiento
Pozo C,2022-09-04,1013,2160,91.99,380,Cerrado
Pozo E,2022-12-08,1634,2552,108.78,356,Operando
Pozo C,2022-11-25,1411,2461,74.24,124,Operando
Pozo B,2022-10-24,1852,2094,102.16,297,Operando
Pozo B,2022-07-30,982,2045,96.73,212,Mantenimiento
Pozo E,2022-10-22,1915,2250,78.55,81,Mantenimiento
Pozo A,2022-09-05,2020,2605,103.16,247,Mantenimiento
Pozo E,2022-11-23,1801,2418,74.61,82,Operando
Pozo C,2022-08-15,1819,2434,99.06,392,Cerrado
Pozo C,2022-05-07,1515,2003,105.21,78,Mantenimiento
Pozo A,2022-08-20,2089,2153,70.68,388,Mantenimiento
Pozo A,2022-11-17,856,2088,105.16,75,Operando
Pozo B,2022-03-19,1128,2573,95.86,76,Mantenimiento
Pozo D,2022-05-17,1023,2117,110.72,191,Operando
Pozo D,2022-07-02,1026,2600,88.53,144,Operando
Pozo C,2022-09-13,1400,2047,60.16,479,Cerrado
Pozo C,2022-08-05,2176,2522,99.9,62,Mantenimiento
Pozo C,2022-10-13,1062,2651,96.81,228,Mantenimiento
Pozo D,2022-06-02,2165,2443,102.41,84,Cerrado
Pozo C,2022-02-19,1109,2152,94.2,86,Cerrado
Pozo B,2022-02-24,1651,2704,71.92,250,Mantenimiento
Pozo C,2022-09-04,1829,2323,111.35,450,Mantenimiento
Pozo A,2022-01-30,1456,2629,85.04,78,Cerrado
Pozo E,2022-04-01,1876,2148,61.69,445,Operando
Pozo A,2022-07-17,1295,2456,61.16,447,Cerrado
Pozo B,2022-05-08,839,2786,75.37,120,Cerrado
Pozo D,2022-03-16,957,2542,77.57,151,Operando
Pozo A,2022-05-06,1716,2072,103.34,248,Mantenimiento
Pozo B,2022-01-19,2197,2321,84.29,451,Operando
Pozo E,2022-08-11,1316,2377,108.22,224,Mantenimiento
Pozo C,2022-06-16,1992,2238,84.52,491,Cerrado
Pozo A,2022-12-16,1500,2784,107.97,321,Operando
Pozo B,2022-04-05,848,2415,119.45,200,Operando
Pozo C,2022-08-06,1365,2504,71.33,237,Operando
Pozo E,2022-10-22,2193,2508,117.09,412,Mantenimiento
Pozo C,2022-01-16,1812,2013,82.54,255,Cerrado
Pozo A,2022-12-16,2044,2359,102.53,405,Operando
Pozo C,2022-02-07,1667,2065,97.34,271,Cerrado
Pozo C,2022-01-26,1199,2331,64.49,392,Operando
Pozo C,2022-12-24,1679,2475,111.88,474,Operando
Pozo D,2022-02-06,1501,2500,101.58,416,Mantenimiento
Pozo B,2022-06-14,1400,2315,62.47,60,Operando
Pozo B,2022-01-01,1550,2516,112.43,499,Mantenimiento
Pozo B,2022-10-24,881,2267,79.61,494,Mantenimiento
Pozo D,2022-06-01,948,2731,94.4,383,Cerrado
Pozo C,2022-12-21,1128,2212,110.87,118,Mantenimiento
Pozo D,2022-04-30,835,2736,111.42,413,Mantenimiento
Pozo A,2022-05-15,2191,2620,93.16,66,Mantenimiento
Pozo C,2022-07-08,801,2221,90.86,234,Mantenimiento
Pozo A,2022-04-24,1192,2410,112.49,340,Cerrado
Pozo E,2022-06-04,946,2770,66.63,351,Mantenimiento
Pozo E,2022-04-15,1995,2639,86.9,491,Mantenimiento
Pozo E,2022-05-26,1994,2033,96.95,434,Mantenimiento
Pozo B,2022-07-14,1757,2117,84.61,385,Operando
Pozo B,2022-08-22,1811,2256,102.64,181,Operando
Pozo B,2022-02-19,1761,2098,110.97,142,Cerrado
Pozo B,2022-09-11,1014,2150,91.35,405,Mantenimiento
Pozo A,2022-03-07,1774,2241,100.77,424,Mantenimiento
Pozo D,2022-07-24,2000,2691,79.02,326,Mantenimiento
Pozo E,2022-02-05,1687,2658,75.38,320,Operando
Pozo B,2022-06-27,1558,2314,91.22,112,Cerrado
Pozo B,2022-02-21,1725,2015,98.48,129,Cerrado
Pozo B,2022-05-26,1493,2501,75.4,344,Operando
Pozo A,2022-05-11,1881,2089,96.92,270,Mantenimiento
Pozo C,2022-02-12,1092,2529,68.4,336,Mantenimiento
Pozo B,2022-08-29,1651,2159,66.58,476,Mantenimiento
Pozo E,2022-04-02,980,2454,87.91,268,Mantenimiento
Pozo A,2022-05-04,2102,2256,92.19,107,Mantenimiento
Pozo E,2022-11-07,847,2285,63.89,200,Mantenimiento
Pozo C,2022-02-27,1121,2262,66.72,67,Operando
Pozo C,2022-12-28,1134,2721,67.93,149,Operando
Pozo C,2022-11-26,1306,2607,110.71,172,Cerrado
Pozo B,2022-06-05,2121,2288,118.22,106,Mantenimiento
Pozo D,2022-11-14,1125,2041,85.79,396,Cerrado
Pozo D,2022-08-29,1386,2650,115.33,353,Cerrado
Pozo C,2022-11-03,1751,2574,110.02,402,Operando
Pozo A,2022-12-22,878,2377,80.74,57,Mantenimiento
Pozo D,2022-06-27,2114,2569,81.23,460,Operando
Pozo C,2022-01-31,1172,2332,69.98,218,Operando
Pozo E,2022-02-03,1537,2617,97.82,129,Operando
Pozo C,2022-02-07,1834,2558,105.42,470,Operando
Pozo C,2022-01-21,1661,2684,110.27,118,Mantenimiento
Pozo A,2022-12-30,2070,2740,83.65,437,Operando
Pozo B,2022-06-12,1696,2699,94.56,245,Mantenimiento
Pozo D,2022-07-04,2150,2787,83.41,488,Cerrado
Pozo E,2022-04-19,1972,2769,97.67,274,Cerrado
Pozo D,2022-12-07,1588,2638,113.29,66,Cerrado
Pozo B,2022-05-21,1873,2514,103.64,323,Mantenimiento
Pozo E,2022-09-15,1500,2550,79.35,193,Cerrado
Pozo E,2022-03-09,2158,2417,106.17,410,Operando
Pozo E,2022-09-23,2084,2182,61.88,249,Cerrado
Pozo A,2022-12-13,849,2209,71.52,353,Operando
Pozo D,2022-01-21,1471,2510,114.99,327,Cerrado
Pozo D,2022-05-14,952,2385,86.82,171,Cerrado
Pozo A,2022-06-15,1065,2257,85.82,486,Mantenimiento
Pozo D,2022-03-11,2098,2534,102.0,52,Cerrado
Pozo B,2022-09-15,1156,2770,105.28,251,Cerrado
Pozo C,2022-10-17,992,2497,65.78,431,Cerrado
Pozo A,2022-07-09,1256,2502,108.57,124,Cerrado
Pozo E,2022-03-17,1941,2386,99.41,388,Cerrado
Pozo A,2022-01-25,824,2193,115.38,441,Cerrado
Pozo B,2022-05-27,1925,2206,60.41,348,Cerrado
Pozo D,2022-04-11,982,2050,114.16,78,Cerrado
Pozo D,2022-12-27,2157,2388,87.24,323,Mantenimiento
Pozo E,2022-10-18,1068,2167,71.68,419,Mantenimiento
Pozo C,2022-05-25,1028,2337,100.92,296,Operando
Pozo E,2022-03-20,1924,2146,85.02,104,Mantenimiento
Pozo B,2022-10-02,2193,2685,83.73,331,Operando
Pozo E,2022-01-15,813,2420,62.51,209,Cerrado
Pozo B,2022-07-26,1108,2128,74.05,270,Mantenimiento
Pozo C,2022-02-25,1508,2377,108.26,343,Cerrado
Pozo E,2022-12-15,1965,2313,110.38,273,Cerrado
Pozo D,2022-06-01,826,2572,78.83,439,Mantenimiento
Pozo D,2022-09-09,1201,2093,99.1,447,Cerrado
Pozo D,2022-08-14,1858,2077,112.19,445,Operando
Pozo E,2022-07-09,1699,2060,74.07,243,Operando
Pozo C,2022-12-20,2144,2612,111.28,228,Cerrado
Pozo E,2022-09-16,2154,2443,78.67,213,Operando
Pozo B,2022-10-10,2122,2036,105.44,486,Mantenimiento
Pozo C,2022-02-15,1800,2207,80.51,180,Cerrado
Pozo E,2022-04-04,1370,2320,80.15,129,Cerrado
Pozo A,2022-01-06,1687,2605,106.69,361,Operando
Pozo E,2022-11-29,1803,2647,74.24,80,Cerrado
Pozo B,2022-03-26,1790,2320,66.54,181,Mantenimiento
Pozo C,2022-11-02,1636,2574,101.92,423,Operando
Pozo A,2022-11-20,821,2407,113.77,411,Cerrado
Pozo D,2022-08-11,915,2244,62.93,232,Operando
Pozo D,2022-12-30,1814,2620,62.98,69,Operando
Pozo A,2022-02-21,1920,2248,62.16,85,Cerrado
Pozo A,2022-10-27,1319,2178,118.61,57,Mantenimiento
Pozo C,2022-07-19,1780,2499,68.17,472,Cerrado
Pozo E,2022-03-14,1954,2239,76.85,128,Mantenimiento
Pozo B,2022-07-18,851,2255,76.7,416,Operando
Pozo E,2022-07-29,993,2416,109.63,71,Operando
Pozo C,2022-01-04,1321,2097,99.53,272,Operando
Pozo C,2022-06-02,1996,2315,88.68,481,Cerrado
Pozo E,2022-07-23,2021,2271,106.32,213,Mantenimiento
Pozo B,2022-05-01,1389,2785,96.43,435,Operando
Pozo C,2022-05-25,1431,2657,114.68,411,Mantenimiento
Pozo E,2022-11-22,1469,2278,95.31,238,Mantenimiento
Pozo C,2022-03-23,1820,2572,74.51,92,Cerrado
Pozo A,2022-01-29,2092,2761,119.92,245,Mantenimiento
Pozo A,2022-05-26,1680,2469,75.31,57,Operando
Pozo E,2022-08-04,831,2148,119.78,172,Mantenimiento
Pozo B,2022-09-28,1274,2098,64.65,55,Mantenimiento
Pozo D,2022-07-28,1953,2792,89.07,133,Operando
Pozo D,2022-01-25,1242,2509,98.45,430,Mantenimiento
Pozo E,2022-04-17,1514,2292,94.02,399,Mantenimiento
Pozo D,2022-03-09,2098,2450,106.58,243,Operando
Pozo A,2022-10-17,1461,2634,62.43,380,Mantenimiento
Pozo E,2022-01-09,1392,2254,77.24,176,Cerrado
Pozo D,2022-12-02,1828,2137,75.02,452,Cerrado
Pozo D,2022-05-02,1132,2644,95.43,171,Cerrado
Pozo C,2022-03-09,1897,2419,119.08,168,Cerrado
Pozo C,2022-11-09,1414,2633,78.19,135,Cerrado
